index,date,open,high,low,close,volume
0,2021-03-29 04:34:00,26.3388,26.3396,26.2983,26.3083,390.63397543
1,2021-03-29 04:35:00,26.3182,26.3182,26.2748,26.2802,168.29286638
2,2021-03-29 04:36:00,26.3041,26.314,26.2948,26.2976,160.24054881
3,2021-03-29 04:37:00,26.2999,26.3363,26.2999,26.3363,168.54126855
4,2021-03-29 04:38:00,26.3321,26.3505,26.327,26.327,361.83126004
5,2021-03-29 04:39:00,26.3173,26.3199,26.2807,26.2875,166.97683776
6,2021-03-29 04:40:00,26.2873,26.308,26.2808,26.2832,200.96
7,2021-03-29 04:41:00,26.2951,26.2981,26.256,26.2582,424.53976255
8,2021-03-29 04:42:00,26.2623,26.3108,26.2623,26.3038,1889.66
9,2021-03-29 04:43:00,26.2954,26.2982,26.2592,26.2858,413.89
10,2021-03-29 04:44:00,26.3078,26.3347,26.3078,26.3347,163.89136675
11,2021-03-29 04:45:00,26.3222,26.3288,26.318,26.3287,21.18
12,2021-03-29 04:46:00,26.3053,26.3053,26.2593,26.2593,401.9834042
13,2021-03-29 04:47:00,26.2623,26.2876,26.2623,26.2832,33.22
14,2021-03-29 04:48:00,26.2905,26.2966,26.2893,26.2893,31.91091383
15,2021-03-29 04:49:00,26.2855,26.2855,26.2431,26.2556,1474.06
16,2021-03-29 04:50:00,26.2721,26.3241,26.2721,26.3241,148.11178469
17,2021-03-29 04:51:00,26.3271,26.3439,26.3055,26.3055,448.25863325
18,2021-03-29 04:52:00,26.3061,26.3062,26.2844,26.3045,125.5
19,2021-03-29 04:53:00,26.3112,26.3135,26.263,26.265,151.69306787
20,2021-03-29 04:54:00,26.2599,26.3079,26.2599,26.3076,304.64
21,2021-03-29 04:55:00,26.3021,26.3021,26.2583,26.2583,28.64
22,2021-03-29 04:56:00,26.2612,26.268,26.2612,26.2664,11.37
23,2021-03-29 04:57:00,26.27,26.284,26.2316,26.2316,302.4
24,2021-03-29 04:58:00,26.2316,26.2588,26.2304,26.2304,269.89
25,2021-03-29 04:59:00,26.2302,26.2309,26.2092,26.2309,205.82
26,2021-03-29 05:00:00,26.2325,26.2578,26.2198,26.2578,7476.37
27,2021-03-29 05:01:00,26.2522,26.2979,26.2522,26.2979,169.12
28,2021-03-29 05:02:00,26.3006,26.3391,26.3006,26.318,422.80924294
29,2021-03-29 05:03:00,26.3183,26.3268,26.3183,26.3249,8.55148255
30,2021-03-29 05:04:00,26.3272,26.3272,26.3131,26.3131,749.05934719
31,2021-03-29 05:05:00,26.3154,26.3228,26.2752,26.2754,313.66
32,2021-03-29 05:06:00,26.2791,26.288,26.2791,26.2803,82.01
33,2021-03-29 05:07:00,26.2804,26.3025,26.2804,26.3025,183.12
34,2021-03-29 05:08:00,26.32,26.32,26.2497,26.2519,290.99
35,2021-03-29 05:09:00,26.2485,26.2497,26.2346,26.2393,120.25882393
36,2021-03-29 05:10:00,26.2354,26.4171,26.2354,26.4082,6985.77326172
37,2021-03-29 05:11:00,26.4145,26.4396,26.4049,26.4076,1170.87032473
38,2021-03-29 05:12:00,26.4083,26.4095,26.3823,26.3848,310.23936147
39,2021-03-29 05:13:00,26.3833,26.3833,26.3619,26.3627,36.17033
40,2021-03-29 05:14:00,26.3514,26.3514,26.3425,26.3447,6.43
41,2021-03-29 05:15:00,26.3424,26.3475,26.3394,26.3475,671.78
42,2021-03-29 05:16:00,26.3438,26.3979,26.3407,26.3979,330.16369187
43,2021-03-29 05:17:00,26.3961,26.3961,26.3961,26.3961,9.32
44,2021-03-29 05:18:00,26.3951,26.3962,26.3951,26.3962,241.18916336
45,2021-03-29 05:19:00,26.3962,26.3962,26.3789,26.3809,1030.21
46,2021-03-29 05:20:00,26.3824,26.4123,26.3824,26.4123,1454.29083664
47,2021-03-29 05:21:00,26.4168,26.4698,26.4168,26.4698,554.20182482
48,2021-03-29 05:22:00,26.4698,26.4698,26.4592,26.4592,270.51359406
49,2021-03-29 05:23:00,26.4603,26.4603,26.4532,26.4532,171.55
50,2021-03-29 05:24:00,26.4543,26.4555,26.4458,26.4529,499.17996617
51,2021-03-29 05:25:00,26.4519,26.4528,26.4487,26.4487,137.44
52,2021-03-29 05:26:00,26.4434,26.4434,26.428,26.4302,1649.57945204
53,2021-03-29 05:27:00,26.4347,26.4347,26.431,26.4346,46.74
54,2021-03-29 05:28:00,26.428,26.4396,26.4279,26.4381,216.68
55,2021-03-29 05:29:00,26.4384,26.4455,26.4361,26.4435,621.53
56,2021-03-29 05:30:00,26.4407,26.4407,26.4222,26.4222,155.79
57,2021-03-29 05:31:00,26.4182,26.4182,26.4129,26.4138,122.80710578
58,2021-03-29 05:32:00,26.4108,26.4172,26.4102,26.4134,373.98
59,2021-03-29 05:33:00,26.4085,26.424,26.4035,26.424,581.51
