date,open,high,low,close,volume
2020-12-01 09:15:00+05:30,1105.05,1121.6,1105.05,1114.8,417851
2020-12-01 09:16:00+05:30,1114.35,1120.85,1113.75,1115.2,131681
2020-12-01 09:17:00+05:30,1114.8,1115.5,1112.6,1113.95,74755
2020-12-01 09:18:00+05:30,1113.95,1114.85,1113.15,1113.5,42031
2020-12-01 09:19:00+05:30,1113.55,1117.8,1112.35,1117.65,67841
2020-12-01 09:20:00+05:30,1117.4,1117.6,1112.2,1113.1,56277
2020-12-01 09:21:00+05:30,1113.1,1115.55,1113.1,1115,17027
2020-12-01 09:22:00+05:30,1114.4,1117.45,1114.4,1116.95,36418
2020-12-01 09:23:00+05:30,1116.95,1116.95,1115.4,1115.4,18282
2020-12-01 09:24:00+05:30,1115.5,1118.8,1114.75,1118.8,273272
2020-12-01 09:25:00+05:30,1118.5,1120,1118.5,1119,36658
2020-12-01 09:26:00+05:30,1119,1120.5,1118.6,1120,41357
2020-12-01 09:27:00+05:30,1120.05,1122.75,1120,1121.45,55846
2020-12-01 09:28:00+05:30,1121.6,1124.15,1120,1123.85,79565
2020-12-01 09:29:00+05:30,1124,1124.8,1122.8,1123.05,63547
2020-12-01 09:30:00+05:30,1123,1126.5,1122.8,1125.6,105191
2020-12-01 09:31:00+05:30,1125.6,1126.6,1124.95,1125.15,62425
2020-12-01 09:32:00+05:30,1124.55,1125.2,1123,1123.45,35813
2020-12-01 09:33:00+05:30,1123.1,1124.8,1123,1124,31326
2020-12-01 09:34:00+05:30,1124,1124.05,1122.6,1122.6,23906
2020-12-01 09:35:00+05:30,1123,1123,1120.45,1121,36418
2020-12-01 09:36:00+05:30,1121.45,1121.45,1119.05,1120.6,45323
2020-12-01 09:37:00+05:30,1120.55,1121.45,1120,1121,32661
2020-12-01 09:38:00+05:30,1121,1124.7,1120.35,1124.7,42369
2020-12-01 09:39:00+05:30,1124.3,1126,1123.8,1124,49480
2020-12-01 09:40:00+05:30,1124.05,1126,1123.95,1125,63574
2020-12-01 09:41:00+05:30,1125,1125.9,1124.25,1125.4,27938
2020-12-01 09:42:00+05:30,1125.3,1125.85,1125,1125.5,30350
2020-12-01 09:43:00+05:30,1125.5,1125.8,1123.75,1124,42755
2020-12-01 09:44:00+05:30,1123.95,1124.7,1123.25,1124.45,21329
2020-12-01 09:45:00+05:30,1124.35,1124.5,1123,1123.15,21050
2020-12-01 09:46:00+05:30,1123.65,1124,1123,1123.75,12279
2020-12-01 09:47:00+05:30,1123.75,1123.95,1122.6,1122.6,27148
2020-12-01 09:48:00+05:30,1122.75,1123.7,1122.45,1123.7,17448
2020-12-01 09:49:00+05:30,1123.5,1123.75,1122.55,1123.6,15908
2020-12-01 09:50:00+05:30,1123.65,1123.8,1123.25,1123.4,14357
2020-12-01 09:51:00+05:30,1123.4,1123.8,1123,1123.25,10295
2020-12-01 09:52:00+05:30,1123.05,1124.4,1122.55,1123.95,32938
2020-12-01 09:53:00+05:30,1123.95,1125,1123.95,1124.2,44500
2020-12-01 09:54:00+05:30,1124.2,1125,1124,1125,8756
2020-12-01 09:55:00+05:30,1125.3,1126,1125,1125.5,60247
2020-12-01 09:56:00+05:30,1125.8,1125.85,1125.1,1125.3,25260
2020-12-01 09:57:00+05:30,1125.6,1125.65,1124.3,1124.45,18717
2020-12-01 09:58:00+05:30,1124.45,1125,1124.25,1124.5,12403
2020-12-01 09:59:00+05:30,1124.5,1125.2,1124.45,1125.05,10962
2020-12-01 10:00:00+05:30,1125.3,1125.85,1125.1,1125.75,17625
2020-12-01 10:01:00+05:30,1125.9,1128.55,1125.7,1128.55,76035
